Elapsed Time (min),Date,Voltage (V),R_therm (Ohms),Temp_SH (K),Temp_SH (F),Temp_SH (C),Temp_Beta (K),Temp_Beta (F),Temp_Beta (C)
18.31,09-18-2025 13:11:12,3.2767,19014.9427,284.1,51.72,10.95,284.36,52.17,11.21
18.33,09-18-2025 13:11:13,5.5099,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
18.35,09-18-2025 13:11:14,0.4948,1098.3172,357.3,183.54,84.19,357.8,184.38,84.65
18.36,09-18-2025 13:11:15,3.7005,28476.3371,275.9,36.86,2.7,276.32,37.71,3.17
18.39,09-18-2025 13:11:17,3.3904,21063.1358,282.0,47.88,8.82,282.28,48.43,9.13
18.4,09-18-2025 13:11:18,1.9897,6609.9161,307.9,94.47,34.71,307.77,94.31,34.62
18.42,09-18-2025 13:11:19,0.4588,1010.336,360.0,188.31,86.84,360.53,189.29,87.38
18.44,09-18-2025 13:11:20,4.2716,58645.9585,262.1,12.06,-11.08,263.03,13.78,-10.12
18.45,09-18-2025 13:11:21,3.8333,32854.0819,273.0,31.78,-0.12,273.59,32.79,0.44
18.48,09-18-2025 13:11:22,4.5849,110463.7856,250.9,-8.0,-22.22,252.39,-5.37,-20.76
18.49,09-18-2025 13:11:23,2.3723,9027.6853,300.5,81.23,27.35,300.47,81.18,27.32
18.51,09-18-2025 13:11:24,5.6627,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
18.53,09-18-2025 13:11:25,3.8646,34035.8892,272.3,30.54,-0.81,272.92,31.58,-0.23
18.54,09-18-2025 13:11:26,1.4758,4187.6674,319.2,114.94,46.08,319.12,114.74,45.97
18.57,09-18-2025 13:11:28,6.0446,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
18.58,09-18-2025 13:11:29,3.9983,39912.6529,269.3,25.0,-3.89,269.95,26.24,-3.2
18.6,09-18-2025 13:11:30,3.2199,18088.9014,285.2,53.61,12.0,285.38,54.02,12.23
18.62,09-18-2025 13:11:31,1.1426,2962.1828,328.4,131.38,55.21,328.3,131.27,55.15
18.63,09-18-2025 13:11:32,5.3029,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
18.66,09-18-2025 13:11:33,5.8562,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
18.67,09-18-2025 13:11:34,2.2239,8011.1219,303.3,86.24,30.13,303.23,86.14,30.08
18.69,09-18-2025 13:11:35,3.9478,37520.0475,270.4,27.14,-2.7,271.09,28.3,-2.06
18.71,09-18-2025 13:11:36,4.9172,593773.5849,224.8,-54.96,-48.31,227.9,-49.45,-45.25
18.72,09-18-2025 13:11:37,5.2836,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
18.75,09-18-2025 13:11:38,1.8452,5848.8024,310.8,99.83,37.68,310.73,99.64,37.58
18.76,09-18-2025 13:11:39,1.3774,3802.1462,321.7,119.44,48.58,321.63,119.26,48.48
18.78,09-18-2025 13:11:40,1.9506,6396.4666,308.7,95.9,35.5,308.56,95.73,35.41
18.8,09-18-2025 13:11:41,0.9849,2453.1063,333.5,140.69,60.38,333.53,140.68,60.38
18.81,09-18-2025 13:11:42,3.8627,33963.2907,272.4,30.61,-0.77,272.96,31.66,-0.19
18.84,09-18-2025 13:11:44,5.109,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
18.86,09-18-2025 13:11:45,4.2326,55157.1917,263.2,14.09,-9.95,264.11,15.73,-9.04
18.87,09-18-2025 13:11:46,3.7423,29755.5037,275.0,35.29,1.83,275.48,36.19,2.33
18.89,09-18-2025 13:11:47,2.5875,10725.3886,296.6,74.14,23.41,296.58,74.18,23.43
18.91,09-18-2025 13:11:48,3.6229,26307.5247,277.4,39.72,4.29,277.86,40.48,4.71
18.93,09-18-2025 13:11:49,6.0127,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
18.95,09-18-2025 13:11:50,2.4431,9555.121,299.2,78.87,26.04,299.18,78.85,26.03
18.96,09-18-2025 13:11:51,3.5513,24512.5108,278.9,42.29,5.72,279.25,42.98,6.1
18.98,09-18-2025 13:11:52,5.3807,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
19.0,09-18-2025 13:11:53,0.7642,1804.285,342.3,156.44,69.13,342.41,156.66,69.26
19.02,09-18-2025 13:11:55,5.3089,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
19.04,09-18-2025 13:11:56,1.7998,5624.0845,311.8,101.56,38.65,311.69,101.37,38.54
19.05,09-18-2025 13:11:57,2.5536,10437.8816,297.2,75.25,24.03,297.19,75.27,24.04
19.07,09-18-2025 13:11:58,4.7218,169734.891,243.8,-20.81,-29.34,245.65,-17.51,-27.5
19.09,09-18-2025 13:11:59,2.7967,12693.7479,292.8,67.37,19.65,292.88,67.51,19.73
19.11,09-18-2025 13:12:00,5.6561,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
19.13,09-18-2025 13:12:01,4.5315,96723.5859,253.2,-3.91,-19.95,254.55,-1.48,-18.6
19.14,09-18-2025 13:12:02,3.4761,22809.7445,280.3,44.93,7.18,280.68,45.55,7.53
19.16,09-18-2025 13:12:03,5.5221,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
19.18,09-18-2025 13:12:04,5.0464,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
19.2,09-18-2025 13:12:06,2.4561,9654.5709,299.0,78.45,25.8,298.94,78.43,25.79
19.22,09-18-2025 13:12:07,3.3429,20173.877,282.9,49.49,9.72,283.15,50.0,10.0
19.23,09-18-2025 13:12:08,4.2208,54169.4072,263.5,14.69,-9.62,264.43,16.3,-8.72
19.25,09-18-2025 13:12:09,4.5656,105107.9137,251.8,-6.48,-21.38,253.19,-3.92,-19.96
19.27,09-18-2025 13:12:10,1.1051,2837.3825,329.5,133.48,56.38,329.48,133.39,56.33
19.29,09-18-2025 13:12:11,2.5001,10001.0001,298.1,77.0,25.0,298.15,77.0,25.0
19.31,09-18-2025 13:12:12,0.4024,875.1801,364.6,196.67,91.48,365.32,197.91,92.17
19.32,09-18-2025 13:12:13,3.6279,26441.4886,277.3,39.53,4.19,277.76,40.3,4.61
19.34,09-18-2025 13:12:14,4.1074,46014.5638,266.6,20.15,-6.58,267.35,21.56,-5.8
19.36,09-18-2025 13:12:15,0.0414,83.5676,460.2,368.71,187.06,466.7,380.39,193.55
19.38,09-18-2025 13:12:16,3.0928,16216.6148,287.5,57.78,14.32,287.65,58.11,14.5
19.4,09-18-2025 13:12:17,4.9281,685047.7845,222.8,-58.59,-50.33,226.03,-52.81,-47.12
19.41,09-18-2025 13:12:18,1.8911,6082.9882,309.9,98.1,36.72,309.77,97.92,36.62
19.43,09-18-2025 13:12:19,5.8869,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
19.45,09-18-2025 13:12:20,0.7483,1760.0365,343.0,157.75,69.86,343.15,157.99,70.0
19.47,09-18-2025 13:12:22,4.3282,64432.4525,260.4,8.99,-12.78,261.39,10.84,-11.76
19.49,09-18-2025 13:12:23,3.2031,17825.1191,285.5,54.16,12.31,285.69,54.56,12.54
19.51,09-18-2025 13:12:24,2.6381,11169.6216,295.6,72.49,22.5,295.68,72.56,22.53
19.52,09-18-2025 13:12:25,3.9411,37217.1398,270.6,27.42,-2.54,271.24,28.57,-1.91
19.54,09-18-2025 13:12:26,3.4747,22781.5112,280.4,44.98,7.21,280.7,45.6,7.55
19.56,09-18-2025 13:12:27,1.7169,5229.6827,313.6,104.81,40.45,313.49,104.61,40.34
19.58,09-18-2025 13:12:28,2.2121,7934.807,303.5,86.64,30.36,303.45,86.54,30.3
19.6,09-18-2025 13:12:29,6.0373,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
19.61,09-18-2025 13:12:30,5.5418,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
19.63,09-18-2025 13:12:31,0.6879,1595.3792,345.9,162.96,72.76,346.1,163.31,72.95
19.65,09-18-2025 13:12:33,1.7186,5237.5148,313.6,104.74,40.41,313.45,104.54,40.3
19.67,09-18-2025 13:12:34,3.2147,18006.3014,285.3,53.78,12.1,285.48,54.19,12.33
19.69,09-18-2025 13:12:35,1.1087,2849.1351,329.4,133.28,56.26,329.36,133.19,56.21
19.7,09-18-2025 13:12:36,3.8464,33341.6405,272.7,31.26,-0.41,273.31,32.28,0.16
19.72,09-18-2025 13:12:37,3.4892,23094.7752,280.1,44.47,6.93,280.43,45.11,7.28
19.74,09-18-2025 13:12:38,4.6761,144350.7621,246.5,-16.05,-26.7,248.15,-13.01,-25.0
19.76,09-18-2025 13:12:39,4.9586,1198459.2145,215.2,-72.28,-57.93,219.02,-65.43,-54.13
19.78,09-18-2025 13:12:40,0.3576,770.2042,368.9,204.28,95.71,369.69,205.77,96.54
19.79,09-18-2025 13:12:41,1.4871,4233.1026,318.9,114.44,45.8,318.84,114.24,45.69
19.81,09-18-2025 13:12:42,2.7009,11747.9951,294.5,70.46,21.37,294.57,70.55,21.42
19.83,09-18-2025 13:12:44,1.7257,5270.6727,313.4,104.46,40.25,313.29,104.26,40.14
19.85,09-18-2025 13:12:45,5.4416,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
19.87,09-18-2025 13:12:46,4.4992,89850.2247,254.5,-1.61,-18.67,255.76,0.71,-17.39
19.88,09-18-2025 13:12:47,2.0539,6971.4455,306.6,92.17,33.43,306.5,92.02,33.35
19.9,09-18-2025 13:12:48,5.3734,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
19.92,09-18-2025 13:12:49,3.8586,33804.4133,272.5,30.78,-0.68,273.05,31.81,-0.1
19.94,09-18-2025 13:12:50,1.4518,4091.7017,319.8,116.01,46.67,319.72,115.82,46.57
19.96,09-18-2025 13:12:51,3.4738,22761.3743,280.4,45.01,7.23,280.72,45.63,7.57
19.97,09-18-2025 13:12:52,5.2194,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
19.99,09-18-2025 13:12:53,3.987,39358.3416,269.5,25.49,-3.62,270.21,26.7,-2.94
20.01,09-18-2025 13:12:54,0.8306,1992.2051,339.4,151.28,66.27,339.49,151.42,66.34
20.03,09-18-2025 13:12:55,0.7541,1776.1357,342.7,157.27,69.59,342.88,157.51,69.73
20.05,09-18-2025 13:12:56,3.4798,22890.6796,280.3,44.8,7.11,280.61,45.43,7.46
20.06,09-18-2025 13:12:57,1.3522,3707.0797,322.4,120.63,49.24,322.29,120.45,49.14
20.08,09-18-2025 13:12:58,1.9187,6226.8514,309.3,97.08,36.15,309.21,96.9,36.06
20.11,09-18-2025 13:13:00,1.9749,6528.5841,308.2,95.01,35.01,308.06,94.85,34.91
20.12,09-18-2025 13:13:01,2.2614,8257.7538,302.6,84.96,29.42,302.52,84.87,29.37
20.14,09-18-2025 13:13:02,5.3717,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
20.16,09-18-2025 13:13:03,0.9313,2288.9753,335.5,144.18,62.32,335.49,144.21,62.34
20.17,09-18-2025 13:13:04,1.9684,6492.805,308.3,95.25,35.14,308.2,95.08,35.05
20.2,09-18-2025 13:13:05,4.4574,82155.2816,256.0,1.2,-17.11,257.26,3.39,-15.89
20.21,09-18-2025 13:13:06,5.5056,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
20.23,09-18-2025 13:13:07,5.6614,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
20.25,09-18-2025 13:13:08,1.9984,6657.6438,307.7,94.16,34.53,307.6,94.0,34.45
20.26,09-18-2025 13:13:09,3.3148,19670.2889,283.4,50.44,10.25,283.66,50.93,10.51
20.29,09-18-2025 13:13:11,3.1569,17128.7599,286.3,55.68,13.16,286.51,56.05,13.36
20.3,09-18-2025 13:13:12,1.9601,6448.0447,308.5,95.55,35.31,308.36,95.38,35.21
20.32,09-18-2025 13:13:13,3.9878,39394.9123,269.5,25.45,-3.64,270.19,26.67,-2.96
20.34,09-18-2025 13:13:14,2.4519,9622.7526,299.0,78.58,25.88,299.02,78.56,25.87
20.35,09-18-2025 13:13:15,0.7886,1872.6069,341.2,154.49,68.05,341.31,154.69,68.16
20.38,09-18-2025 13:13:16,1.6937,5122.5875,314.1,105.74,40.97,314.0,105.54,40.85
20.39,09-18-2025 13:13:17,1.455,4104.3724,319.7,115.87,46.59,319.64,115.67,46.49
20.41,09-18-2025 13:13:18,5.5624,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
20.43,09-18-2025 13:13:19,5.6769,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
20.44,09-18-2025 13:13:20,2.8084,12814.1219,292.6,66.99,19.44,292.67,67.14,19.52
20.47,09-18-2025 13:13:22,3.0242,15306.045,288.7,60.02,15.57,288.87,60.29,15.72
20.49,09-18-2025 13:13:23,4.4267,77212.4714,257.1,3.17,-16.02,258.3,5.27,-14.85
20.5,09-18-2025 13:13:24,1.833,5787.8118,311.1,100.29,37.94,310.99,100.1,37.84
20.52,09-18-2025 13:13:25,2.9211,14050.7471,290.6,63.36,17.42,290.69,63.57,17.54
20.54,09-18-2025 13:13:26,2.3811,9091.7118,300.3,80.93,27.18,300.31,80.89,27.16
20.56,09-18-2025 13:13:27,5.7911,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
20.58,09-18-2025 13:13:28,3.1914,17646.266,285.7,54.55,12.53,285.89,54.94,12.74
20.59,09-18-2025 13:13:29,4.6097,118102.482,249.8,-10.03,-23.35,251.31,-7.3,-21.84
20.61,09-18-2025 13:13:30,4.8364,295576.7762,235.1,-36.5,-38.05,237.46,-32.25,-35.69
20.63,09-18-2025 13:13:31,4.2679,58294.3486,262.2,12.26,-10.97,263.14,13.97,-10.01
20.65,09-18-2025 13:13:32,1.7016,5158.6926,313.9,105.42,40.79,313.83,105.22,40.68
20.67,09-18-2025 13:13:33,5.6574,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
20.68,09-18-2025 13:13:34,4.6253,123422.2815,249.1,-11.37,-24.09,250.61,-8.57,-22.54
20.7,09-18-2025 13:13:35,0.3645,786.3229,368.2,203.04,95.02,368.97,204.48,95.82
20.72,09-18-2025 13:13:36,3.2342,18315.5771,284.9,53.13,11.74,285.13,53.56,11.98
20.74,09-18-2025 13:13:38,0.6249,1428.4082,349.2,168.93,76.07,349.49,169.4,76.34
20.76,09-18-2025 13:13:39,4.6009,115274.037,250.2,-9.3,-22.94,251.7,-6.6,-21.45
20.77,09-18-2025 13:13:40,4.3256,64142.7247,260.4,9.14,-12.7,261.47,10.98,-11.68
20.79,09-18-2025 13:13:41,2.8275,13014.9597,292.2,66.37,19.1,292.34,66.53,19.19
20.81,09-18-2025 13:13:42,2.1532,7563.8886,304.6,88.67,31.49,304.57,88.55,31.42
20.83,09-18-2025 13:13:43,2.8264,13003.0479,292.3,66.41,19.12,292.36,66.57,19.21
20.85,09-18-2025 13:13:44,1.1856,3108.0926,327.1,129.04,53.91,326.99,128.92,53.84
20.86,09-18-2025 13:13:45,0.5016,1114.9705,356.9,182.68,83.71,357.32,183.5,84.17
20.88,09-18-2025 13:13:46,5.1036,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
20.9,09-18-2025 13:13:47,3.0381,15485.0116,288.5,59.57,15.31,288.62,59.85,15.47
20.92,09-18-2025 13:13:49,2.8198,12933.8073,292.4,66.62,19.23,292.47,66.78,19.32
20.94,09-18-2025 13:13:50,3.7382,29625.5387,275.1,35.45,1.92,275.56,36.34,2.41
20.95,09-18-2025 13:13:51,4.9356,765945.6838,221.3,-61.38,-51.88,224.6,-55.39,-48.55
20.97,09-18-2025 13:13:52,1.7571,5418.1201,312.7,103.22,39.57,312.61,103.03,39.46
20.99,09-18-2025 13:13:53,0.7954,1891.6669,340.9,153.97,67.76,341.01,154.15,67.86
21.01,09-18-2025 13:13:54,3.6559,27198.9212,276.8,38.51,3.62,277.21,39.31,4.06
21.03,09-18-2025 13:13:55,0.504,1120.9964,356.7,182.38,83.54,357.14,183.19,83.99
21.05,09-18-2025 13:13:56,3.4946,23214.3154,280.0,44.28,6.82,280.33,44.92,7.18
21.06,09-18-2025 13:13:57,2.0044,6691.0077,307.6,93.94,34.41,307.48,93.79,34.33
21.08,09-18-2025 13:13:58,5.7159,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
21.1,09-18-2025 13:14:00,3.4567,22399.1576,280.7,45.6,7.56,281.04,46.21,7.89
21.12,09-18-2025 13:14:01,3.8756,34469.1495,272.1,30.1,-1.06,272.68,31.15,-0.47
21.14,09-18-2025 13:14:02,4.1066,45967.5388,266.6,20.19,-6.56,267.37,21.59,-5.78
21.15,09-18-2025 13:14:03,3.582,25260.9309,278.3,41.19,5.11,278.66,41.92,5.51
21.17,09-18-2025 13:14:04,3.4554,22371.6263,280.7,45.65,7.58,281.07,46.25,7.92
21.19,09-18-2025 13:14:05,3.2664,18842.3406,284.3,52.06,11.14,284.54,52.51,11.39
21.21,09-18-2025 13:14:06,3.4661,22597.1803,280.5,45.28,7.38,280.87,45.89,7.72
21.23,09-18-2025 13:14:07,2.4516,9619.8651,299.0,78.59,25.89,299.02,78.57,25.87
21.24,09-18-2025 13:14:08,3.4335,21918.2892,281.2,46.4,8.0,281.48,46.99,8.33
21.26,09-18-2025 13:14:09,1.1087,2849.1351,329.4,133.28,56.26,329.36,133.19,56.21
21.28,09-18-2025 13:14:10,5.6156,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
21.3,09-18-2025 13:14:11,1.3389,3657.2375,322.7,121.27,49.59,322.65,121.09,49.5
21.32,09-18-2025 13:14:12,5.9186,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
21.33,09-18-2025 13:14:13,2.0214,6786.6211,307.2,93.33,34.07,307.14,93.18,33.99
21.35,09-18-2025 13:14:14,4.1499,48819.2045,265.5,18.16,-7.69,266.28,19.64,-6.87
21.37,09-18-2025 13:14:16,4.167,50024.0096,265.0,17.34,-8.14,265.84,18.85,-7.31
21.39,09-18-2025 13:14:17,1.2934,3489.3603,324.0,123.49,50.83,323.89,123.33,50.74
21.41,09-18-2025 13:14:18,1.3363,3647.4522,322.8,121.39,49.66,322.72,121.22,49.57
21.42,09-18-2025 13:14:19,3.9373,37050.5205,270.7,27.58,-2.46,271.33,28.72,-1.82
21.44,09-18-2025 13:14:20,3.2295,18240.61,285.0,53.29,11.83,285.21,53.71,12.06
21.46,09-18-2025 13:14:21,1.0009,2502.735,333.0,139.69,59.83,332.96,139.66,59.81
21.48,09-18-2025 13:14:22,4.5516,101498.2578,252.4,-5.4,-20.78,253.76,-2.9,-19.39
21.5,09-18-2025 13:14:23,2.3642,8969.4828,300.6,81.49,27.5,300.62,81.44,27.47
21.51,09-18-2025 13:14:24,5.5596,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
21.53,09-18-2025 13:14:25,5.5714,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
21.56,09-18-2025 13:14:27,5.2479,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
21.57,09-18-2025 13:14:28,1.9616,6456.1649,308.4,95.5,35.28,308.33,95.33,35.18
21.59,09-18-2025 13:14:29,0.8119,1938.5166,340.2,152.69,67.05,340.29,152.85,67.14
21.61,09-18-2025 13:14:30,4.3521,67167.9367,259.6,7.64,-13.53,260.67,9.54,-12.48
21.62,09-18-2025 13:14:31,3.4714,22709.134,280.4,45.09,7.27,280.77,45.71,7.62
21.65,09-18-2025 13:14:32,0.0501,101.1376,450.7,351.65,177.58,456.41,361.87,183.26
21.66,09-18-2025 13:14:33,3.6199,26228.6025,277.5,39.83,4.35,277.92,40.59,4.77
21.68,09-18-2025 13:14:34,0.9788,2433.9447,333.8,141.08,60.6,333.75,141.08,60.6
21.7,09-18-2025 13:14:35,5.7294,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
21.71,09-18-2025 13:14:36,3.3973,21197.5978,281.8,47.65,8.69,282.15,48.2,9.0
21.74,09-18-2025 13:14:38,2.4038,9258.546,299.9,80.18,26.76,299.89,80.14,26.74
21.75,09-18-2025 13:14:39,5.6466,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
21.77,09-18-2025 13:14:40,1.5169,4354.9255,318.2,113.13,45.07,318.11,112.93,44.96
21.79,09-18-2025 13:14:41,3.3861,20980.134,282.1,48.03,8.91,282.36,48.57,9.21
21.8,09-18-2025 13:14:42,3.8872,34933.7228,271.8,29.63,-1.32,272.43,30.7,-0.72
21.83,09-18-2025 13:14:43,4.3412,65894.1277,260.0,8.26,-13.19,261.0,10.14,-12.15
21.84,09-18-2025 13:14:44,2.1336,7443.2549,305.0,89.36,31.87,304.95,89.23,31.8
21.86,09-18-2025 13:14:45,3.9442,37359.6969,270.5,27.29,-2.62,271.17,28.44,-1.98
21.88,09-18-2025 13:14:46,2.8843,13632.9798,291.2,64.54,18.08,291.34,64.73,18.19
21.89,09-18-2025 13:14:47,2.2421,8129.9007,302.9,85.61,29.79,302.88,85.52,29.73
21.92,09-18-2025 13:14:48,5.1276,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
21.93,09-18-2025 13:14:49,2.6297,11094.265,295.8,72.77,22.65,295.83,72.83,22.68
21.95,09-18-2025 13:14:50,0.3898,845.5459,365.8,198.71,92.62,366.49,200.01,93.34
21.97,09-18-2025 13:14:51,1.659,4965.5792,314.9,107.14,41.75,314.78,106.94,41.63
21.98,09-18-2025 13:14:52,4.2992,61345.7594,261.3,10.59,-11.89,262.24,12.37,-10.91
22.01,09-18-2025 13:14:54,2.121,7367.1414,305.3,89.8,32.11,305.19,89.67,32.04
22.02,09-18-2025 13:14:55,4.8328,289065.4206,235.4,-35.89,-37.71,237.77,-31.68,-35.38
22.04,09-18-2025 13:14:56,2.8136,12868.904,292.5,66.82,19.35,292.58,66.97,19.43
22.06,09-18-2025 13:14:57,1.362,3743.8153,322.1,120.17,48.98,322.03,119.99,48.88
22.07,09-18-2025 13:14:58,1.8525,5885.6235,310.7,99.55,37.53,310.58,99.37,37.43
22.1,09-18-2025 13:14:59,4.5469,100344.8276,252.6,-5.05,-20.58,253.95,-2.56,-19.2
22.12,09-18-2025 13:15:00,3.3373,20071.7964,283.0,49.68,9.82,283.25,50.19,10.1
22.13,09-18-2025 13:15:01,1.9701,6501.9906,308.3,95.19,35.1,308.16,95.02,35.01
22.15,09-18-2025 13:15:02,5.9962,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
22.17,09-18-2025 13:15:03,2.9445,14324.9818,290.1,62.6,17.0,290.28,62.83,17.13
22.19,09-18-2025 13:15:05,0.4262,931.7992,362.6,193.0,89.44,363.21,194.11,90.06
22.21,09-18-2025 13:15:06,4.6941,153432.0735,245.5,-17.86,-27.7,247.2,-14.71,-25.95
22.22,09-18-2025 13:15:07,5.4197,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
22.24,09-18-2025 13:15:08,0.4054,882.2809,364.4,196.2,91.22,365.05,197.41,91.9
22.26,09-18-2025 13:15:09,5.4313,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
22.28,09-18-2025 13:15:10,5.1298,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
22.3,09-18-2025 13:15:11,3.6238,26332.2585,277.4,39.68,4.27,277.84,40.45,4.69
22.31,09-18-2025 13:15:12,4.9174,595143.7216,224.8,-55.02,-48.35,227.87,-49.51,-45.28
22.33,09-18-2025 13:15:13,2.5708,10583.0139,296.9,74.68,23.71,296.88,74.71,23.73
22.35,09-18-2025 13:15:14,5.4364,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
22.37,09-18-2025 13:15:16,3.2348,18324.5999,284.9,53.12,11.73,285.12,53.54,11.97
22.39,09-18-2025 13:15:17,4.251,56755.6742,262.7,13.14,-10.48,263.61,14.82,-9.54
22.4,09-18-2025 13:15:18,2.7247,11975.6071,294.1,69.69,20.94,294.15,69.79,21.0
22.42,09-18-2025 13:15:19,5.3803,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
22.44,09-18-2025 13:15:20,0.7708,1822.6019,342.0,155.91,68.84,342.11,156.13,68.96
22.46,09-18-2025 13:15:21,5.778,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
22.48,09-18-2025 13:15:22,0.2136,446.1826,388.0,238.71,114.84,389.59,241.6,116.44
22.49,09-18-2025 13:15:23,5.4399,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
22.51,09-18-2025 13:15:24,0.9457,2332.7373,334.9,143.22,61.79,334.95,143.24,61.8
22.53,09-18-2025 13:15:25,2.9556,14456.6048,290.0,62.24,16.8,290.08,62.47,16.93
22.55,09-18-2025 13:15:27,2.4028,9251.5943,299.9,80.21,26.78,299.91,80.17,26.76
22.57,09-18-2025 13:15:28,0.7294,1707.8882,343.9,159.33,70.74,344.05,159.61,70.9
22.59,09-18-2025 13:15:29,0.3137,669.3696,373.6,212.83,100.46,374.61,214.62,101.46
22.6,09-18-2025 13:15:30,4.9672,1516717.5573,212.1,-77.83,-61.01,216.2,-70.51,-56.95
22.62,09-18-2025 13:15:31,3.9534,37775.4554,270.3,26.9,-2.83,270.97,28.07,-2.18
22.64,09-18-2025 13:15:32,4.9191,607760.6178,224.5,-55.56,-48.64,227.59,-50.0,-45.56
22.66,09-18-2025 13:15:33,1.5277,4399.8848,318.0,112.65,44.81,317.85,112.45,44.7
22.68,09-18-2025 13:15:34,4.8758,392414.4869,230.8,-44.16,-42.31,233.48,-39.41,-39.67
22.69,09-18-2025 13:15:35,5.6775,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
22.71,09-18-2025 13:15:36,0.9478,2339.0144,334.9,143.08,61.71,334.87,143.1,61.72
22.73,09-18-2025 13:15:38,2.8757,13537.0267,291.4,64.82,18.23,291.49,65.01,18.34
22.75,09-18-2025 13:15:39,5.4658,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
22.77,09-18-2025 13:15:40,5.2112,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
22.78,09-18-2025 13:15:41,2.145,7513.1349,304.8,88.96,31.65,304.73,88.84,31.58
22.8,09-18-2025 13:15:42,4.3273,64328.7188,260.4,9.04,-12.75,261.42,10.89,-11.73
22.82,09-18-2025 13:15:43,4.3828,71012.6582,258.6,5.85,-14.53,259.72,7.83,-13.43
22.84,09-18-2025 13:15:44,1.062,2696.8004,330.9,135.98,57.77,330.88,135.91,57.73
22.86,09-18-2025 13:15:45,4.8285,281545.1895,235.8,-35.16,-37.31,238.15,-31.0,-35.0
22.87,09-18-2025 13:15:46,4.8561,337372.9917,233.1,-40.1,-40.06,235.58,-35.62,-37.57
22.89,09-18-2025 13:15:47,6.0261,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
22.92,09-18-2025 13:15:48,0.8842,2148.4541,337.3,147.4,64.11,337.3,147.48,64.15
22.93,09-18-2025 13:15:49,4.1151,46501.1653,266.4,19.8,-6.78,267.16,21.21,-5.99
22.95,09-18-2025 13:15:50,2.7776,12498.4532,293.1,67.98,19.99,293.21,68.12,20.06
22.97,09-18-2025 13:15:51,2.5603,10494.4281,297.1,75.03,23.9,297.07,75.05,23.92
22.98,09-18-2025 13:15:52,2.1375,7467.2489,304.9,89.22,31.79,304.87,89.1,31.72
23.01,09-18-2025 13:15:54,0.8001,1904.9391,340.7,153.6,67.56,340.8,153.78,67.65
23.02,09-18-2025 13:15:55,5.1208,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
23.04,09-18-2025 13:15:56,3.6754,27746.532,276.4,37.8,3.22,276.83,38.62,3.68
23.06,09-18-2025 13:15:57,2.4403,9533.6345,299.2,78.97,26.09,299.23,78.94,26.08
23.07,09-18-2025 13:15:58,5.4345,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
